param_name,level,actual_value,sharpe,annual_return,max_drawdown,relative_sharpe,mc_survival_rate
mom_w,-0.15,0.2975,1.1098935724219727,0.14181457861468516,0.09659035776221263,0.29345326101180924,0.42
mom_w,-0.1,0.315,1.1038421141336514,0.1411418209395039,0.09659035776221263,0.2874018027234879,0.38
mom_w,-0.05,0.33249999999999996,1.1378805236868925,0.145157498132382,0.09810519705644974,0.32144021227672903,0.32
mom_w,0.0,0.35,1.215626903096881,0.15654815444013814,0.07583734245319906,0.39918659168671744,0.26
mom_w,0.05,0.3675,1.063479100849959,0.1431535792790759,0.1549751497069404,0.2470387894397954,0.2
mom_w,0.1,0.385,1.0198520443261971,0.13773863214350368,0.15497514970694043,0.20341173291603365,0.12
mom_w,0.15,0.40249999999999997,1.0051818734751838,0.136276900593292,0.171509205979641,0.18874156206502035,0.06
vol_w,-0.15,0.255,0.9962711533672646,0.13566453119330735,0.1715092059796416,0.17983084195710108,0.02
vol_w,-0.1,0.27,1.0142355627927235,0.1371559480406661,0.15497514970694043,0.19779525138256004,0.1
vol_w,-0.05,0.285,1.056442234471108,0.1423758317308239,0.1549751497069404,0.24000192306094448,0.18
vol_w,0.0,0.3,1.215626903096881,0.15654815444013814,0.07583734245319906,0.39918659168671744,0.22
vol_w,0.05,0.315,1.1378805236868925,0.145157498132382,0.09810519705644974,0.32144021227672903,0.3
vol_w,0.1,0.33,1.105918633291804,0.1413845780806542,0.09659035776221239,0.2894783218816406,0.34
vol_w,0.15,0.345,1.1098935724219727,0.14181457861468516,0.09659035776221263,0.29345326101180924,0.44
def_alloc,-0.15,0.2125,1.2268661528217446,0.1602309437157199,0.07709100654591018,0.4104258414115811,0.2
def_alloc,-0.1,0.225,1.223385792513886,0.159008696997607,0.07584431022279702,0.40694548110372253,0.2
def_alloc,-0.05,0.2375,1.2196848965244769,0.15778545469727323,0.07527235863600885,0.4032445851143134,0.2
def_alloc,0.0,0.25,1.215626903096881,0.15654815444013814,0.07583734245319906,0.39918659168671744,0.2
def_alloc,0.05,0.2625,1.2116722371370532,0.15534883266534383,0.07640241368257907,0.3952319257268897,0.2
def_alloc,0.1,0.275,1.2008060223636832,0.15338296082916414,0.07696757191622013,0.3843657109535197,0.2
def_alloc,0.15,0.2875,1.195941471954123,0.15211443527179358,0.07753281674641342,0.37950116054395955,0.18
step_low,-0.15,0.17,1.1941467562707624,0.1512508892600395,0.0815812253721412,0.3777064448605989,0.18
step_low,-0.1,0.18000000000000002,1.1882585493533442,0.15162132543389584,0.07973057456642917,0.3718182379431807,0.18
step_low,-0.05,0.19,1.2035275520723925,0.15435905370942593,0.07798602160010633,0.387087240662229,0.18
