param_name,level,actual_value,sharpe,annual_return,max_drawdown,relative_sharpe,mc_survival_rate
mom_w,-0.15,0.2975,1.0102187992734326,0.12923030882089348,0.08923095625010541,0.19377848786326912,0.4
mom_w,-0.1,0.315,1.0078259010596704,0.12886150064104118,0.08667811133992014,0.19138558964950692,0.38
mom_w,-0.05,0.33249999999999996,1.0339762878001793,0.13187833451219522,0.09810519705644949,0.21753597639001576,0.36
mom_w,0.0,0.35,1.102009124101889,0.14112232760062926,0.07420880670160729,0.2855688126917255,0.3
mom_w,0.05,0.3675,0.9645988932653339,0.1306474883099733,0.1549751497069404,0.1481585818551704,0.28
mom_w,0.1,0.385,0.937122778951057,0.12724109534518213,0.15497514970694057,0.12068246754089351,0.14
mom_w,0.15,0.40249999999999997,0.9045607277014924,0.12351447306651542,0.17150920597964087,0.08812041629132894,0.08
vol_w,-0.15,0.255,0.9161755768435554,0.1255307956039362,0.17150920597964134,0.09973526543339195,0.0
vol_w,-0.1,0.27,0.9315652500163386,0.12666378747519658,0.15497514970694057,0.11512493860617512,0.06
vol_w,-0.05,0.285,0.9669899487528026,0.1309893552321879,0.1549751497069404,0.15054963734263915,0.1
vol_w,0.0,0.3,1.102009124101889,0.14112232760062926,0.07420880670160729,0.2855688126917255,0.18
vol_w,0.05,0.315,1.0339762878001793,0.13187833451219522,0.09810519705644949,0.21753597639001576,0.24
vol_w,0.1,0.33,1.009923994298259,0.12910164536768365,0.08667811133992026,0.19348368288809548,0.4
vol_w,0.15,0.345,0.9966212614789026,0.12758984215956826,0.0866781113399201,0.18018095006873913,0.4
def_alloc,-0.15,0.2125,1.1090678509201697,0.1439797766391524,0.0787411320829781,0.2926275395100062,0.18
def_alloc,-0.1,0.225,1.106914244285174,0.14302877773419365,0.0772305291329867,0.29047393287501055,0.18
def_alloc,-0.05,0.2375,1.104563113590299,0.14207629313121872,0.07571975193512526,0.2881228021801354,0.18
def_alloc,0.0,0.25,1.102009124101889,0.14112232760062926,0.07420880670160729,0.2855688126917255,0.18
def_alloc,0.05,0.2625,1.0992342373149688,0.14011619727370195,0.07269769965384186,0.28279392590480534,0.18
def_alloc,0.1,0.275,1.089712660838075,0.13843038497229498,0.073313894702831,0.27327234942791145,0.18
def_alloc,0.15,0.2875,1.0866058489632373,0.13748706824563883,0.07536339613548405,0.2701655375530738,0.18
step_low,-0.15,0.17,1.07831843649469,0.13722304078827885,0.07639618629147499,0.26187812508452657,0.18
step_low,-0.1,0.18000000000000002,1.0793914774654945,0.13801070945929994,0.07471927027960523,0.262951166055331,0.18
step_low,-0.05,0.19,1.098970138866862,0.14002812224269046,0.07334901371775195,0.2825298274566985,0.18
step_low,0.0,0.2,1.102009124101889,0.14112232760062926,0.07420880670160729,0.2855688126917255,0.18
step_low,0.05,0.21000000000000002,1.10184773468267,0.14172329153374408,0.07549191889083785,0.28540742327250657,0.18
step_low,0.1,0.22000000000000003,1.100466133875045,0.14212846127619394,0.07831658047947287,0.2840258224648815,0.2
step_low,0.15,0.22999999999999998,1.0852480345709445,0.14141267007479041,0.08161789587573738,0.26880772316078105,0.2
step_high,-0.15,0.2975,1.0225551721971076,0.13068631920733886,0.1099374499164536,0.20611486078694408,0.1
step_high,-0.1,0.315,1.0629918747864642,0.13685429501040236,0.11205072850538973,0.2465515633763007,0.1
step_high,-0.05,0.33249999999999996,1.0971753756036215,0.1400229960786632,0.07653083398484742,0.28073506419345806,0.14
step_high,0.0,0.35,1.102009124101889,0.14112232760062926,0.07420880670160729,0.2855688126917255,0.18
step_high,0.05,0.3675,1.0865704569960406,0.13995870250940623,0.08078680807962217,0.2701301455858771,0.22
step_high,0.1,0.385,1.10383182752262,0.14354435297805268,0.08368020050530459,0.2873915161124565,0.24
step_high,0.15,0.40249999999999997,1.0933598763715298,0.14278854969354438,0.08682065325087625,0.27691956496136627,0.24
max_def,-0.15,0.8075,1.0991065855413247,0.14314303547070217,0.08509827249249587,0.2826662741311612,0.22
max_def,-0.1,0.855,1.0999840525357814,0.14282894266389468,0.08211983822047879,0.28354374112561787,0.2
max_def,-0.05,0.9025,1.0967629131818644,0.1408439682612188,0.07565995986681513,0.2803226017717009,0.2
max_def,0.0,0.95,1.102009124101889,0.14112232760062926,0.07420880670160729,0.2855688126917255,0.2
max_def,0.05,0.99,1.101706433305167,0.14075225950732762,0.07383075846247084,0.28526612189500344,0.2
max_def,0.1,0.99,1.101706433305167,0.14075225950732762,0.07383075846247084,0.28526612189500344,0.2
max_def,0.15,0.99,1.101706433305167,0.14075225950732762,0.07383075846247084,0.28526612189500344,0.2
rebalance_threshold,-0.15,0.059500000000000004,1.1005557081590749,0.14098532057745783,0.07408311450748263,0.2841153967489114,0.2
rebalance_threshold,-0.1,0.06300000000000001,1.1022598046933623,0.14113260721289733,0.07334901371775208,0.2858194932831988,0.2
rebalance_threshold,-0.05,0.0665,1.102009124101889,0.14112232760062926,0.07420880670160729,0.2855688126917255,0.2
rebalance_threshold,0.0,0.07,1.102009124101889,0.14112232760062926,0.07420880670160729,0.2855688126917255,0.2
