mom_w,vol_w,invvol_w,sharpe,ann_ret,dd,ann_vol,calmar,win_rate,def_weeks
1.0,0.7,4,1.0904442730187542,12.716374700479104,18.0374332718011,9.074789745776174,0.7049991264754563,59.50920245398773,218
1.0,0.7,6,1.0898409616440756,12.854566311433402,18.38927130311449,9.20303744944574,0.6990253229477502,59.66257668711656,243
1.0,0.7,8,1.177586286025768,13.792350063344294,11.615680248361324,9.222075306784545,1.1873906450971774,60.2760736196319,202
1.0,0.7,10,1.2045841118013492,14.199688100346929,11.282039701088943,9.32027867507259,1.2586100099414095,60.122699386503065,183
1.0,0.7,12,1.2451551813024022,14.719163858604723,10.905450301488113,9.386653270498858,1.3497071144871668,60.73619631901841,171
1.0,0.75,4,1.0703262502440811,12.488033497958284,18.037433271801127,9.053675673768714,0.6923398307164627,59.66257668711656,218
1.0,0.75,6,1.0676447855237476,12.592008400069776,18.38927130311448,9.173119793278167,0.6847475461377931,59.8159509202454,243
1.0,0.75,8,1.2109879410471378,14.057217100600683,11.6156802483613,9.155108049806639,1.2101931871432003,61.19631901840491,186
1.0,0.75,10,1.2781352999830553,14.855889964883406,8.713652516711672,9.226599659741694,1.704898139602389,61.34969325153374,163
1.0,0.75,12,1.2904608316333268,15.10014162729445,8.570665061628244,9.309065968806934,1.7618401277748386,61.19631901840491,163
1.0,0.8,4,1.0257721454765767,12.027975209886566,18.037433271801074,9.045809527020747,0.6668340793637513,59.355828220858896,231
1.0,0.8,6,1.0426669641055786,12.325959438202094,18.3892713031145,9.16473380540165,0.670279927629025,59.96932515337423,241
1.0,0.8,8,1.188394257101124,13.862220359089527,11.002648216341484,9.187268500364844,1.2598985341093536,61.04294478527608,184
1.0,0.8,10,1.1685813093650719,13.708642992562869,11.945702397521737,9.230694462506834,1.1475794839328053,60.88957055214724,186
1.0,0.8,12,1.2109316260395517,14.242699742916031,11.56194544685068,9.300671792817102,1.2318601405263983,60.73619631901841,180
1.0,0.85,4,0.9478807330281643,11.158097744256734,18.03743327180112,8.956736410674381,0.6186078460343236,58.895705521472394,230
1.0,0.85,6,0.9867045755543193,11.676558766285726,18.389271303114523,9.0886657176712,0.6349658218544044,59.355828220858896,242
1.0,0.85,8,1.1074446180298165,12.89136306134775,10.516028481877765,9.07455336741149,1.2258775338582804,60.42944785276073,179
1.0,0.85,10,1.1414488507527702,13.369789646752395,10.423234321900967,9.184345460395138,1.2826910759033998,60.582822085889575,171
1.0,0.85,12,1.1760790289734036,13.77427464427534,8.570665061628253,9.21980122174404,1.6071418664981068,60.582822085889575,167
1.0,0.9,4,0.9550828907294872,11.160384993634187,17.052127232626233,8.884531710132098,0.6544863782320813,58.58895705521472,224
