ts_code,trade_date,fd_share,fund_type,market
512890.SH,20181219,68355.539,,SH
512890.SH,20181231,68355.539,,SH
512890.SH,20190117,68355.539,,SH
512890.SH,20190118,36355.54,,SH
512890.SH,20190121,29905.54,,SH
512890.SH,20190122,29005.54,,SH
512890.SH,20190123,27705.54,,SH
512890.SH,20190124,25405.54,,SH
512890.SH,20190125,23055.54,,SH
512890.SH,20190128,22305.54,,SH
512890.SH,20190129,21705.54,,SH
512890.SH,20190130,21305.54,,SH
512890.SH,20190131,21499.99,,SH
512890.SH,20190201,21405.54,,SH
512890.SH,20190211,20759.68,,SH
512890.SH,20190212,20055.54,,SH
512890.SH,20190213,19205.54,,SH
512890.SH,20190214,18855.54,,SH
512890.SH,20190215,18505.54,,SH
512890.SH,20190218,13105.54,,SH
512890.SH,20190219,11705.54,,SH
512890.SH,20190220,11305.54,,SH
512890.SH,20190221,11055.54,,SH
512890.SH,20190222,10855.54,,SH
512890.SH,20190225,9955.54,,SH
512890.SH,20190226,9605.54,,SH
512890.SH,20190227,9505.54,,SH
512890.SH,20190228,9355.54,,SH
512890.SH,20190301,9205.54,,SH
512890.SH,20190304,9005.54,,SH
512890.SH,20190305,8855.54,,SH
512890.SH,20190306,8555.54,,SH
512890.SH,20190307,8155.54,,SH
512890.SH,20190308,8055.54,,SH
512890.SH,20190311,8105.54,,SH
512890.SH,20190312,7955.54,,SH
512890.SH,20190313,7705.54,,SH
512890.SH,20190314,7455.54,,SH
512890.SH,20190315,7255.54,,SH
512890.SH,20190318,7105.54,,SH
512890.SH,20190319,7105.54,,SH
512890.SH,20190320,7005.54,,SH
512890.SH,20190321,6755.54,,SH
512890.SH,20190322,6555.54,,SH
512890.SH,20190325,6505.54,,SH
512890.SH,20190326,6405.54,,SH
512890.SH,20190327,6634.89,,SH
512890.SH,20190328,6599.01,,SH
512890.SH,20190329,6605.54,,SH
512890.SH,20190331,6605.539,,SH
512890.SH,20190401,6705.54,,SH
512890.SH,20190402,6655.54,,SH
512890.SH,20190403,6555.54,,SH
512890.SH,20190404,6505.54,,SH
512890.SH,20190408,6555.54,,SH
512890.SH,20190409,6555.54,,SH
512890.SH,20190410,6505.54,,SH
512890.SH,20190411,6605.54,,SH
512890.SH,20190412,6649.11,,SH
512890.SH,20190415,6655.54,,SH
512890.SH,20190416,6905.54,,SH
512890.SH,20190417,6855.54,,SH
512890.SH,20190418,6705.54,,SH
512890.SH,20190419,6505.54,,SH
512890.SH,20190422,6505.54,,SH
512890.SH,20190423,6590.21,,SH
512890.SH,20190424,6405.54,,SH
512890.SH,20190425,6355.54,,SH
512890.SH,20190426,5655.54,,SH
512890.SH,20190429,5655.54,,SH
512890.SH,20190430,5655.54,,SH
512890.SH,20190506,6205.54,,SH
512890.SH,20190507,6355.54,,SH
512890.SH,20190508,6305.54,,SH
512890.SH,20190509,6305.54,,SH
512890.SH,20190510,6205.54,,SH
512890.SH,20190513,6105.54,,SH
512890.SH,20190514,6165.68,,SH
512890.SH,20190515,6105.54,,SH
512890.SH,20190516,6005.54,,SH
512890.SH,20190517,6005.54,,SH
512890.SH,20190520,6005.54,,SH
512890.SH,20190521,5955.54,,SH
512890.SH,20190522,5905.54,,SH
512890.SH,20190523,6155.54,,SH
512890.SH,20190524,6105.54,,SH
512890.SH,20190527,6105.54,,SH
512890.SH,20190528,6055.54,,SH
512890.SH,20190529,6005.54,,SH
512890.SH,20190530,5805.54,,SH
512890.SH,20190531,5055.54,,SH
512890.SH,20190603,5035.76,,SH
512890.SH,20190604,5087.64,,SH
512890.SH,20190605,5055.54,,SH
512890.SH,20190606,5140.34,,SH
512890.SH,20190610,5155.54,,SH
512890.SH,20190611,5155.54,,SH
512890.SH,20190612,5205.54,,SH
