ts_code,trade_date,fd_share,fund_type,market
159941.SZ,20150610,26305.2541,ETF,SZ
159941.SZ,20150630,26305.2541,ETF,SZ
159941.SZ,20150713,26305.2541,ETF,SZ
159941.SZ,20150714,26305.2541,ETF,SZ
159941.SZ,20150715,25905.2541,ETF,SZ
159941.SZ,20150716,22205.2541,ETF,SZ
159941.SZ,20150717,20705.2541,ETF,SZ
159941.SZ,20150720,19605.2541,ETF,SZ
159941.SZ,20150721,19405.2541,ETF,SZ
159941.SZ,20150722,18405.2541,ETF,SZ
159941.SZ,20150723,18105.2541,ETF,SZ
159941.SZ,20150724,17005.2541,ETF,SZ
159941.SZ,20150727,15205.2541,ETF,SZ
159941.SZ,20150728,14805.2541,ETF,SZ
159941.SZ,20150729,13605.2541,ETF,SZ
159941.SZ,20150730,13505.2541,ETF,SZ
159941.SZ,20150731,13405.2541,ETF,SZ
159941.SZ,20150803,12905.2541,ETF,SZ
159941.SZ,20150804,12805.2541,ETF,SZ
159941.SZ,20150805,11705.2541,ETF,SZ
159941.SZ,20150806,11805.2541,ETF,SZ
159941.SZ,20150807,11805.2541,ETF,SZ
159941.SZ,20150810,11605.2541,ETF,SZ
159941.SZ,20150811,11605.2541,ETF,SZ
159941.SZ,20150812,11605.2541,ETF,SZ
159941.SZ,20150813,11105.2541,ETF,SZ
159941.SZ,20150814,10905.2541,ETF,SZ
159941.SZ,20150817,10505.2541,ETF,SZ
159941.SZ,20150818,10205.2541,ETF,SZ
159941.SZ,20150819,10205.2541,ETF,SZ
159941.SZ,20150820,10205.2541,ETF,SZ
159941.SZ,20150821,10205.2541,ETF,SZ
159941.SZ,20150824,10205.2541,ETF,SZ
159941.SZ,20150825,10105.2541,ETF,SZ
159941.SZ,20150826,10005.2541,ETF,SZ
159941.SZ,20150827,9705.2541,ETF,SZ
159941.SZ,20150828,9505.2541,ETF,SZ
159941.SZ,20150831,9505.2541,ETF,SZ
159941.SZ,20150901,9505.2541,ETF,SZ
159941.SZ,20150902,8305.2541,ETF,SZ
159941.SZ,20150907,8205.2541,ETF,SZ
159941.SZ,20150908,8205.2541,ETF,SZ
159941.SZ,20150909,8205.2541,ETF,SZ
159941.SZ,20150910,8205.2541,ETF,SZ
159941.SZ,20150911,8105.2541,ETF,SZ
159941.SZ,20150914,8105.2541,ETF,SZ
159941.SZ,20150915,7905.2541,ETF,SZ
159941.SZ,20150916,7805.2541,ETF,SZ
159941.SZ,20150917,7705.2541,ETF,SZ
159941.SZ,20150918,7705.2541,ETF,SZ
159941.SZ,20150921,7505.2541,ETF,SZ
159941.SZ,20150922,7405.2541,ETF,SZ
159941.SZ,20150923,7405.2541,ETF,SZ
159941.SZ,20150924,7305.2541,ETF,SZ
159941.SZ,20150925,7305.2541,ETF,SZ
159941.SZ,20150928,6905.2541,ETF,SZ
159941.SZ,20150929,6905.2541,ETF,SZ
159941.SZ,20150930,6805.2541,ETF,SZ
159941.SZ,20151008,6805.2541,ETF,SZ
159941.SZ,20151009,6705.2541,ETF,SZ
159941.SZ,20151012,6605.2541,ETF,SZ
159941.SZ,20151013,6505.2541,ETF,SZ
159941.SZ,20151014,6505.2541,ETF,SZ
159941.SZ,20151015,6505.2541,ETF,SZ
159941.SZ,20151016,6505.2541,ETF,SZ
159941.SZ,20151019,6505.2541,ETF,SZ
159941.SZ,20151020,6505.2541,ETF,SZ
159941.SZ,20151021,6405.2541,ETF,SZ
159941.SZ,20151022,6305.2541,ETF,SZ
159941.SZ,20151023,6205.2541,ETF,SZ
159941.SZ,20151026,6205.2541,ETF,SZ
159941.SZ,20151027,5905.2541,ETF,SZ
159941.SZ,20151028,5905.2541,ETF,SZ
159941.SZ,20151029,5605.2541,ETF,SZ
159941.SZ,20151030,5505.2541,ETF,SZ
159941.SZ,20151102,5505.2541,ETF,SZ
159941.SZ,20151103,5405.2541,ETF,SZ
159941.SZ,20151104,5405.2541,ETF,SZ
159941.SZ,20151105,5405.2541,ETF,SZ
159941.SZ,20151106,5305.2541,ETF,SZ
159941.SZ,20151109,5305.2541,ETF,SZ
159941.SZ,20151110,5205.2541,ETF,SZ
159941.SZ,20151111,4605.2541,ETF,SZ
159941.SZ,20151112,4605.2541,ETF,SZ
159941.SZ,20151113,4605.2541,ETF,SZ
159941.SZ,20151116,4605.2541,ETF,SZ
159941.SZ,20151117,4605.2541,ETF,SZ
159941.SZ,20151118,4605.2541,ETF,SZ
159941.SZ,20151119,4505.2541,ETF,SZ
159941.SZ,20151120,4505.2541,ETF,SZ
159941.SZ,20151123,4505.2541,ETF,SZ
159941.SZ,20151124,4505.2541,ETF,SZ
159941.SZ,20151125,4405.2541,ETF,SZ
159941.SZ,20151126,4205.2541,ETF,SZ
159941.SZ,20151127,4205.2541,ETF,SZ
159941.SZ,20151130,4205.2541,ETF,SZ
159941.SZ,20151201,4205.2541,ETF,SZ
159941.SZ,20151202,4005.2541,ETF,SZ
159941.SZ,20151203,3905.2541,ETF,SZ
159941.SZ,20151204,3705.2541,ETF,SZ
159941.SZ,20151207,3705.2541,ETF,SZ
159941.SZ,20151208,3705.2541,ETF,SZ
159941.SZ,20151209,3705.2541,ETF,SZ
159941.SZ,20151210,3705.2541,ETF,SZ
159941.SZ,20151211,3705.2541,ETF,SZ
159941.SZ,20151214,3705.2541,ETF,SZ
159941.SZ,20151215,3705.2541,ETF,SZ
159941.SZ,20151216,3705.2541,ETF,SZ
159941.SZ,20151217,3705.2541,ETF,SZ
159941.SZ,20151218,3705.2541,ETF,SZ
159941.SZ,20151221,3705.2541,ETF,SZ
159941.SZ,20151222,3605.2541,ETF,SZ
159941.SZ,20151223,3605.2541,ETF,SZ
159941.SZ,20151224,3605.2541,ETF,SZ
159941.SZ,20151225,3605.2541,ETF,SZ
159941.SZ,20151228,3605.2541,ETF,SZ
159941.SZ,20151229,3605.2541,ETF,SZ
159941.SZ,20151230,3605.2541,ETF,SZ
159941.SZ,20151231,3605.2541,ETF,SZ
159941.SZ,20160104,3605.2541,ETF,SZ
159941.SZ,20160105,3405.2541,ETF,SZ
159941.SZ,20160106,3405.2541,ETF,SZ
159941.SZ,20160107,3405.2541,ETF,SZ
159941.SZ,20160108,3405.2541,ETF,SZ
159941.SZ,20160111,3405.2541,ETF,SZ
159941.SZ,20160112,3405.2541,ETF,SZ
159941.SZ,20160113,3405.2541,ETF,SZ
159941.SZ,20160114,3405.2541,ETF,SZ
159941.SZ,20160115,3405.2541,ETF,SZ
159941.SZ,20160118,3405.2541,ETF,SZ
159941.SZ,20160119,3405.2541,ETF,SZ
159941.SZ,20160120,3405.2541,ETF,SZ
159941.SZ,20160121,3405.2541,ETF,SZ
159941.SZ,20160122,3405.2541,ETF,SZ
159941.SZ,20160125,3405.2541,ETF,SZ
159941.SZ,20160126,3405.2541,ETF,SZ
159941.SZ,20160127,3405.2541,ETF,SZ
159941.SZ,20160128,3405.2541,ETF,SZ
159941.SZ,20160129,3405.2541,ETF,SZ
159941.SZ,20160201,3405.2541,ETF,SZ
159941.SZ,20160202,3405.2541,ETF,SZ
159941.SZ,20160203,3405.2541,ETF,SZ
159941.SZ,20160204,3405.2541,ETF,SZ
159941.SZ,20160205,3405.2541,ETF,SZ
159941.SZ,20160215,3405.2541,ETF,SZ
159941.SZ,20160216,3405.2541,ETF,SZ
159941.SZ,20160217,3405.2541,ETF,SZ
159941.SZ,20160218,3405.2541,ETF,SZ
159941.SZ,20160219,3405.2541,ETF,SZ
159941.SZ,20160222,3405.2541,ETF,SZ
159941.SZ,20160223,3405.2541,ETF,SZ
159941.SZ,20160224,3405.2541,ETF,SZ
159941.SZ,20160225,3405.2541,ETF,SZ
159941.SZ,20160226,3405.2541,ETF,SZ
159941.SZ,20160229,3405.2541,ETF,SZ
159941.SZ,20160301,3405.2541,ETF,SZ
159941.SZ,20160302,3405.2541,ETF,SZ
159941.SZ,20160303,3405.2541,ETF,SZ
159941.SZ,20160304,3405.2541,ETF,SZ
159941.SZ,20160307,3405.2541,ETF,SZ
159941.SZ,20160308,3405.2541,ETF,SZ
159941.SZ,20160309,3405.2541,ETF,SZ
159941.SZ,20160310,3405.2541,ETF,SZ
159941.SZ,20160311,3405.2541,ETF,SZ
159941.SZ,20160314,3405.2541,ETF,SZ
159941.SZ,20160315,3405.2541,ETF,SZ
159941.SZ,20160316,3305.2541,ETF,SZ
159941.SZ,20160317,3305.2541,ETF,SZ
159941.SZ,20160318,3305.2541,ETF,SZ
159941.SZ,20160321,3305.2541,ETF,SZ
159941.SZ,20160322,3305.2541,ETF,SZ
159941.SZ,20160323,3305.2541,ETF,SZ
159941.SZ,20160324,3305.2541,ETF,SZ
159941.SZ,20160325,3305.2541,ETF,SZ
159941.SZ,20160328,3305.2541,ETF,SZ
159941.SZ,20160329,3305.2541,ETF,SZ
159941.SZ,20160330,3305.2541,ETF,SZ
159941.SZ,20160331,3305.2541,ETF,SZ
159941.SZ,20160401,3305.2541,ETF,SZ
159941.SZ,20160405,3305.2541,ETF,SZ
159941.SZ,20160406,3305.2541,ETF,SZ
159941.SZ,20160407,3305.2541,ETF,SZ
159941.SZ,20160408,3305.2541,ETF,SZ
159941.SZ,20160411,3305.2541,ETF,SZ
159941.SZ,20160412,3305.2541,ETF,SZ
159941.SZ,20160413,3305.2541,ETF,SZ
159941.SZ,20160414,3305.2541,ETF,SZ
159941.SZ,20160415,3305.2541,ETF,SZ
159941.SZ,20160418,3305.2541,ETF,SZ
159941.SZ,20160419,3305.2541,ETF,SZ
159941.SZ,20160420,3305.2541,ETF,SZ
159941.SZ,20160421,3305.2541,ETF,SZ
159941.SZ,20160422,3305.2541,ETF,SZ
159941.SZ,20160425,3305.2541,ETF,SZ
159941.SZ,20160426,3305.2541,ETF,SZ
159941.SZ,20160427,3205.2541,ETF,SZ
159941.SZ,20160428,3205.2541,ETF,SZ
159941.SZ,20160429,3205.2541,ETF,SZ
159941.SZ,20160503,3205.2541,ETF,SZ
159941.SZ,20160504,3205.2541,ETF,SZ
159941.SZ,20160505,3205.2541,ETF,SZ
159941.SZ,20160506,3205.2541,ETF,SZ
159941.SZ,20160509,3205.2541,ETF,SZ
159941.SZ,20160510,3205.2541,ETF,SZ
159941.SZ,20160511,3205.2541,ETF,SZ
159941.SZ,20160512,3205.2541,ETF,SZ
159941.SZ,20160513,3205.2541,ETF,SZ
159941.SZ,20160516,3205.2541,ETF,SZ
159941.SZ,20160517,3205.2541,ETF,SZ
159941.SZ,20160518,3205.2541,ETF,SZ
159941.SZ,20160519,3205.2541,ETF,SZ
159941.SZ,20160520,3205.2541,ETF,SZ
159941.SZ,20160523,3205.2541,ETF,SZ
159941.SZ,20160524,3205.2541,ETF,SZ
159941.SZ,20160525,3205.2541,ETF,SZ
159941.SZ,20160526,3205.2541,ETF,SZ
159941.SZ,20160527,3205.2541,ETF,SZ
159941.SZ,20160530,3205.2541,ETF,SZ
159941.SZ,20160531,3205.2541,ETF,SZ
159941.SZ,20160601,3205.2541,ETF,SZ
159941.SZ,20160602,3205.2541,ETF,SZ
159941.SZ,20160603,3205.2541,ETF,SZ
159941.SZ,20160606,3205.2541,ETF,SZ
159941.SZ,20160607,3105.2541,ETF,SZ
159941.SZ,20160608,3105.2541,ETF,SZ
159941.SZ,20160613,3105.2541,ETF,SZ
159941.SZ,20160614,3105.2541,ETF,SZ
159941.SZ,20160615,3105.2541,ETF,SZ
159941.SZ,20160616,3105.2541,ETF,SZ
159941.SZ,20160617,3105.2541,ETF,SZ
159941.SZ,20160620,3105.2541,ETF,SZ
159941.SZ,20160621,3105.2541,ETF,SZ
159941.SZ,20160622,3105.2541,ETF,SZ
159941.SZ,20160623,3105.2541,ETF,SZ
159941.SZ,20160624,3105.2541,ETF,SZ
159941.SZ,20160627,3105.2541,ETF,SZ
159941.SZ,20160628,3105.2541,ETF,SZ
159941.SZ,20160629,3105.2541,ETF,SZ
159941.SZ,20160630,3105.2541,ETF,SZ
159941.SZ,20160701,3105.2541,ETF,SZ
159941.SZ,20160704,3105.2541,ETF,SZ
159941.SZ,20160705,3105.2541,ETF,SZ
159941.SZ,20160706,3105.2541,ETF,SZ
159941.SZ,20160707,3105.2541,ETF,SZ
159941.SZ,20160708,3105.2541,ETF,SZ
159941.SZ,20160711,3105.2541,ETF,SZ
159941.SZ,20160712,3105.2541,ETF,SZ
159941.SZ,20160713,3105.2541,ETF,SZ
159941.SZ,20160714,3105.2541,ETF,SZ
159941.SZ,20160715,3105.2541,ETF,SZ
159941.SZ,20160718,3005.2541,ETF,SZ
159941.SZ,20160719,2905.2541,ETF,SZ
159941.SZ,20160720,2905.2541,ETF,SZ
159941.SZ,20160721,2905.2541,ETF,SZ
159941.SZ,20160722,2905.2541,ETF,SZ
159941.SZ,20160725,2605.2541,ETF,SZ
159941.SZ,20160726,2605.2541,ETF,SZ
159941.SZ,20160727,2605.2541,ETF,SZ
159941.SZ,20160728,2605.2541,ETF,SZ
159941.SZ,20160729,2505.2541,ETF,SZ
159941.SZ,20160801,2405.2541,ETF,SZ
159941.SZ,20160802,2405.2541,ETF,SZ
159941.SZ,20160803,2405.2541,ETF,SZ
159941.SZ,20160804,2405.2541,ETF,SZ
159941.SZ,20160805,2405.2541,ETF,SZ
159941.SZ,20160808,2405.2541,ETF,SZ
159941.SZ,20160809,2405.2541,ETF,SZ
159941.SZ,20160810,2405.2541,ETF,SZ
159941.SZ,20160811,2405.2541,ETF,SZ
159941.SZ,20160812,2405.2541,ETF,SZ
159941.SZ,20160815,2405.2541,ETF,SZ
159941.SZ,20160816,2405.2541,ETF,SZ
159941.SZ,20160817,2405.2541,ETF,SZ
159941.SZ,20160818,2405.2541,ETF,SZ
159941.SZ,20160819,2405.2541,ETF,SZ
159941.SZ,20160822,2405.2541,ETF,SZ
