date,close,unit_nav,premium
2023-08-08,0.987,0.9745,0.012827090815803022
2023-08-09,0.976,0.9575,0.019321148825065304
2023-08-10,0.959,0.9576,0.0014619883040936088
2023-08-11,0.961,0.9452,0.016716038933558997
2023-08-14,0.947,0.968,-0.02169421487603307
2023-08-15,0.979,0.9581,0.021814006888633886
2023-08-16,0.968,0.9486,0.02045119122917982
2023-08-17,0.959,0.94,0.02021276595744692
2023-08-18,0.946,0.9384,0.008098891730605295
2023-08-21,0.95,0.9634,-0.013909072036537351
2023-08-22,0.976,0.9572,0.019640618470539106
2023-08-23,0.972,0.9778,-0.005931683370832497
2023-08-24,1.003,0.953,0.05246589716684147
2023-08-25,0.96,0.957,0.0031347962382444194
2023-08-28,0.968,0.9653,0.002797057909458056
2023-08-29,0.97,0.9903,-0.020498838735736657
2023-08-30,0.995,0.996,-0.0010040160642570406
2023-08-31,0.995,1.0029,-0.007877156246883898
2023-09-01,0.996,1.0026,-0.006582884500299202
2023-09-04,1.002,1.0025,-0.0004987531172069293
2023-09-05,1.002,1.0065,-0.0044709388971683195
2023-09-06,1.005,1.0,0.004999999999999893
2023-09-07,0.992,0.9882,0.0038453754300749043
2023-09-08,1.0,0.9899,0.010203050813213377
2023-09-11,0.991,0.9974,-0.006416683376779586
2023-09-12,0.997,0.9814,0.015895659262278317
2023-09-13,0.985,0.9867,-0.00172291476639308
2023-09-14,0.995,0.9945,0.0005027652086475598
2023-09-15,0.996,0.9681,0.028819336845367305
2023-09-18,0.976,0.972,0.004115226337448652
2023-09-19,0.975,0.9676,0.007647788342290074
2023-09-20,0.973,0.9475,0.026912928759894372
2023-09-21,0.952,0.9292,0.02453723633232885
2023-09-22,0.941,0.933,0.00857449088960327
2023-09-25,0.941,0.9375,0.0037333333333333663
2023-09-26,0.933,0.9226,0.01127249078690662
2023-09-27,0.927,0.9267,0.00032372936225333326
2023-09-28,0.934,0.9374,-0.0036270535523789116
2023-10-09,0.959,0.974,-0.015400410677618104
2023-10-10,0.972,0.9784,-0.006541291905151292
2023-10-11,0.977,0.9896,-0.012732417138237695
2023-10-12,0.995,0.9888,0.006270226537216761
2023-10-13,0.988,0.9702,0.018346732632446905
2023-10-16,0.975,0.9818,-0.006926054186188635
2023-10-17,0.98,0.9751,0.005025125628140614
2023-10-18,0.971,0.9612,0.010195588847274228
2023-10-19,0.954,0.9537,0.00031456432840504256
2023-10-20,0.95,0.9367,0.014198782961460488
2023-10-23,0.943,0.9427,0.00031823485732473955
2023-10-24,0.956,0.9508,0.005469078670593097
2023-10-25,0.952,0.9181,0.036924082343971154
2023-10-26,0.915,0.8976,0.019385026737968047
2023-10-27,0.912,0.9035,0.009407858328721819
2023-10-30,0.915,0.9114,0.0039499670836076195
2023-10-31,0.913,0.9138,-0.0008754650908293637
2023-11-01,0.915,0.9339,-0.02023771281721798
2023-11-02,0.938,0.948,-0.010548523206751037
2023-11-03,0.941,0.9614,-0.02121905554399839
2023-11-06,0.959,0.9662,-0.007451873318153557
2023-11-07,0.96,0.9782,-0.018605602126354537
2023-11-08,0.972,0.9837,-0.011893870082342217
2023-11-09,0.984,0.9799,0.004184100418409997
2023-11-10,0.978,1.0079,-0.0296656414326818
2023-11-13,1.005,1.0031,0.001894128202571732
2023-11-14,1.004,1.0249,-0.02039223338862317
2023-11-15,1.029,1.0237,0.005177298036534106
2023-11-16,1.026,1.0315,-0.005332040717401898
2023-11-17,1.041,1.03,0.010679611650485255
2023-11-20,1.024,1.0438,-0.01896915117838671
2023-11-21,1.046,1.0324,0.013173188686555592
2023-11-22,1.034,1.0328,0.0011618900077459138
2023-11-23,1.038,1.0317,0.0061064262867112085
2023-11-24,1.035,1.0263,0.00847705349313066
2023-11-27,1.026,1.0251,0.0008779631255488862
2023-11-28,1.029,1.0287,0.0002916302128899151
2023-11-29,1.03,1.0271,0.0028234835945868397
2023-11-30,1.033,1.0187,0.014037498772945911
2023-12-01,1.022,1.0191,0.0028456481208911644
2023-12-04,1.014,1.0026,0.011370436864153177
2023-12-05,0.999,1.0102,-0.0110869134824787
