ts_code,trade_date,bid_open,bid_close,bid_high,bid_low,ask_open,ask_close,ask_high,ask_low,tick_qty
USDCNH.FXCM,20120529,6.3394,6.342,6.3484,6.3386,6.3456,6.3491,6.3594,6.3414,21623
USDCNH.FXCM,20120530,6.342,6.3595,6.3599,6.3388,6.3491,6.3658,6.367,6.3435,22217
USDCNH.FXCM,20120531,6.3595,6.3669,6.3716,6.3565,6.3658,6.372,6.3762,6.3628,22610
USDCNH.FXCM,20120601,6.3669,6.3655,6.3735,6.3585,6.372,6.3709,6.3802,6.364,19362
USDCNH.FXCM,20120604,6.3655,6.3621,6.3695,6.362,6.3709,6.3684,6.375,6.3669,19387
USDCNH.FXCM,20120605,6.3621,6.3632,6.3679,6.3594,6.3684,6.3696,6.3733,6.362,21579
USDCNH.FXCM,20120606,6.3632,6.3547,6.3656,6.3536,6.3696,6.3611,6.3699,6.3585,22470
USDCNH.FXCM,20120607,6.3547,6.3576,6.3611,6.3536,6.3611,6.3639,6.3654,6.3579,21094
USDCNH.FXCM,20120608,6.3576,6.3704,6.3731,6.3551,6.3639,6.3761,6.3765,6.3603,27187
USDCNH.FXCM,20120611,6.3704,6.3698,6.3716,6.3645,6.3761,6.3761,6.3765,6.3672,13564
USDCNH.FXCM,20120612,6.3698,6.3715,6.3755,6.367,6.3761,6.3777,6.3787,6.37,22809
USDCNH.FXCM,20120613,6.3715,6.3684,6.3722,6.3644,6.3777,6.3746,6.3785,6.3679,22970
USDCNH.FXCM,20120614,6.3684,6.3644,6.3692,6.3634,6.3746,6.3708,6.3748,6.3678,23945
USDCNH.FXCM,20120615,6.3644,6.3643,6.3763,6.3622,6.3708,6.3736,6.3797,6.3654,21307
USDCNH.FXCM,20120618,6.3643,6.3636,6.3681,6.3506,6.3736,6.3684,6.3854,6.362,24688
USDCNH.FXCM,20120619,6.3636,6.3566,6.3649,6.3555,6.3684,6.3601,6.3703,6.3595,22497
USDCNH.FXCM,20120620,6.3566,6.3571,6.3611,6.3517,6.3601,6.3634,6.3669,6.3587,24396
USDCNH.FXCM,20120621,6.3571,6.3709,6.3717,6.3571,6.3634,6.3772,6.3779,6.3614,21807
USDCNH.FXCM,20120622,6.3709,6.3677,6.3731,6.3657,6.3772,6.3715,6.3772,6.3698,23061
USDCNH.FXCM,20120625,6.3677,6.3675,6.3759,6.3638,6.3715,6.3737,6.3836,6.3691,21596
USDCNH.FXCM,20120626,6.3675,6.3637,6.3709,6.3608,6.3737,6.3693,6.3765,6.3672,15686
USDCNH.FXCM,20120627,6.3637,6.3621,6.365,6.3568,6.3693,6.3656,6.3721,6.3636,15952
USDCNH.FXCM,20120628,6.3621,6.3617,6.3628,6.357,6.3656,6.3651,6.3669,6.3613,21867
USDCNH.FXCM,20120629,6.3617,6.3513,6.3623,6.3512,6.3651,6.3584,6.368,6.3564,16803
USDCNH.FXCM,20120702,6.3513,6.3497,6.3552,6.3403,6.3584,6.3576,6.3698,6.3524,7917
USDCNH.FXCM,20120703,6.3497,6.3497,6.3538,6.3486,6.3576,6.3531,6.36,6.3528,3211
USDCNH.FXCM,20120704,6.3497,6.3463,6.3503,6.3436,6.3531,6.3505,6.3538,6.3472,7072
USDCNH.FXCM,20120705,6.3463,6.3581,6.3587,6.3445,6.3505,6.3631,6.3673,6.3505,10840
USDCNH.FXCM,20120706,6.3581,6.3698,6.3705,6.3504,6.3631,6.3754,6.3759,6.3576,8934
USDCNH.FXCM,20120709,6.3698,6.3688,6.3759,6.3609,6.3754,6.3726,6.3917,6.3703,8779
USDCNH.FXCM,20120710,6.3688,6.3635,6.3695,6.3622,6.3726,6.367,6.3736,6.3652,11130
USDCNH.FXCM,20120711,6.3635,6.3668,6.3673,6.3605,6.367,6.3703,6.3706,6.3638,12048
USDCNH.FXCM,20120712,6.3668,6.3723,6.3733,6.3639,6.3703,6.3771,6.3777,6.3675,9723
USDCNH.FXCM,20120713,6.3723,6.3713,6.3773,6.3627,6.3771,6.3756,6.3868,6.372,9525
USDCNH.FXCM,20120716,6.3713,6.3784,6.3786,6.3535,6.3756,6.3811,6.3818,6.3742,3905
USDCNH.FXCM,20120717,6.3784,6.372,6.3784,6.3686,6.3811,6.377,6.3811,6.3733,9345
USDCNH.FXCM,20120718,6.372,6.3703,6.3731,6.3651,6.377,6.3737,6.3802,6.3722,4998
USDCNH.FXCM,20120719,6.3703,6.3678,6.3714,6.3647,6.3737,6.3731,6.375,6.3698,9219
USDCNH.FXCM,20120720,6.3678,6.3696,6.3742,6.3591,6.3731,6.374,6.3833,6.372,7044
USDCNH.FXCM,20120723,6.3696,6.385,6.3861,6.3657,6.374,6.3884,6.3901,6.374,10631
USDCNH.FXCM,20120724,6.385,6.3873,6.3895,6.3779,6.3884,6.3907,6.3948,6.3865,12198
USDCNH.FXCM,20120725,6.3873,6.3866,6.3927,6.3825,6.3907,6.3901,6.3971,6.3867,13118
USDCNH.FXCM,20120726,6.3866,6.3731,6.3878,6.372,6.3901,6.385,6.3973,6.381,13297
USDCNH.FXCM,20120727,6.3731,6.3818,6.3848,6.3696,6.385,6.3861,6.3887,6.3816,6988
USDCNH.FXCM,20120730,6.3818,6.3815,6.3832,6.3708,6.3861,6.3864,6.3953,6.383,9173
USDCNH.FXCM,20120731,6.3815,6.3719,6.3837,6.3684,6.3864,6.3757,6.3971,6.3754,9282
USDCNH.FXCM,20120801,6.3719,6.3763,6.3777,6.3718,6.3757,6.3799,6.3834,6.3751,8657
USDCNH.FXCM,20120802,6.3763,6.3827,6.3886,6.3702,6.3799,6.3892,6.3941,6.3759,14543
USDCNH.FXCM,20120803,6.3827,6.3764,6.3857,6.3717,6.3892,6.3798,6.3909,6.3758,10733
USDCNH.FXCM,20120806,6.3764,6.3754,6.3772,6.3735,6.3798,6.3789,6.3827,6.3761,6443
