ts_code,trade_date,fd_share,fund_type,market
510500.SH,20130206,114755.3216,ETF,SH
510500.SH,20130314,461609.3841,ETF,SH
510500.SH,20130315,445609.38,ETF,SH
510500.SH,20130318,443400.0,ETF,SH
510500.SH,20130319,450000.0,ETF,SH
510500.SH,20130320,450400.0,ETF,SH
510500.SH,20130321,446800.0,ETF,SH
510500.SH,20130322,443200.0,ETF,SH
510500.SH,20130325,440800.0,ETF,SH
510500.SH,20130326,441200.0,ETF,SH
510500.SH,20130327,442500.0,ETF,SH
510500.SH,20130328,442200.0,ETF,SH
510500.SH,20130329,448800.0,ETF,SH
510500.SH,20130401,450200.0,ETF,SH
510500.SH,20130402,451400.0,ETF,SH
510500.SH,20130403,450400.0,ETF,SH
510500.SH,20130408,449600.0,ETF,SH
510500.SH,20130409,450000.0,ETF,SH
510500.SH,20130410,450600.0,ETF,SH
510500.SH,20130411,450400.0,ETF,SH
510500.SH,20130412,450600.0,ETF,SH
510500.SH,20130415,450800.0,ETF,SH
510500.SH,20130416,450200.0,ETF,SH
510500.SH,20130417,449400.0,ETF,SH
510500.SH,20130418,449200.0,ETF,SH
510500.SH,20130419,448800.0,ETF,SH
510500.SH,20130422,448400.0,ETF,SH
510500.SH,20130423,448000.0,ETF,SH
510500.SH,20130424,447800.0,ETF,SH
510500.SH,20130425,446200.0,ETF,SH
510500.SH,20130426,446400.0,ETF,SH
510500.SH,20130502,447200.0,ETF,SH
510500.SH,20130503,447400.0,ETF,SH
510500.SH,20130506,448000.0,ETF,SH
510500.SH,20130507,449300.0,ETF,SH
510500.SH,20130508,449600.0,ETF,SH
510500.SH,20130509,449200.0,ETF,SH
510500.SH,20130510,449000.0,ETF,SH
510500.SH,20130513,448600.0,ETF,SH
510500.SH,20130514,449400.0,ETF,SH
510500.SH,20130515,449800.0,ETF,SH
510500.SH,20130517,450000.0,ETF,SH
510500.SH,20130520,449600.0,ETF,SH
510500.SH,20130521,447600.0,ETF,SH
510500.SH,20130522,447200.0,ETF,SH
510500.SH,20130523,446600.0,ETF,SH
510500.SH,20130524,445800.0,ETF,SH
510500.SH,20130527,445600.0,ETF,SH
510500.SH,20130528,445000.0,ETF,SH
510500.SH,20130529,444800.0,ETF,SH
510500.SH,20130530,445000.0,ETF,SH
510500.SH,20130531,444800.0,ETF,SH
510500.SH,20130614,444200.0,ETF,SH
510500.SH,20130617,444600.0,ETF,SH
510500.SH,20130619,446600.0,ETF,SH
510500.SH,20130620,446900.0,ETF,SH
510500.SH,20130621,448600.0,ETF,SH
510500.SH,20130624,449000.0,ETF,SH
510500.SH,20130625,451000.0,ETF,SH
510500.SH,20130626,450800.0,ETF,SH
510500.SH,20130627,448000.0,ETF,SH
510500.SH,20130628,447600.0,ETF,SH
510500.SH,20130630,447609.3841,ETF,SH
510500.SH,20130701,448600.0,ETF,SH
510500.SH,20130702,448400.0,ETF,SH
510500.SH,20130708,448600.0,ETF,SH
510500.SH,20130712,448400.0,ETF,SH
510500.SH,20130716,448200.0,ETF,SH
510500.SH,20130719,448000.0,ETF,SH
510500.SH,20130724,447800.0,ETF,SH
