date,close,unit_nav,premium
2020-11-05,1.013,1.0191,-0.005985673633598254
2020-11-06,1.005,1.0181,-0.01286710539239766
2020-11-09,1.03,0.9872,0.04335494327390599
2020-11-10,0.995,0.977,0.0184237461617196
2020-11-11,0.983,0.9984,-0.015424679487179405
2020-11-12,0.998,0.9966,0.0014047762392133123
2020-11-13,0.999,1.0036,-0.004583499402152302
2020-11-16,1.004,1.0042,-0.00019916351324433812
2020-11-17,1.002,0.9993,0.0027018913239267306
2020-11-18,0.991,0.9896,0.0014147130153596699
2020-11-19,0.99,1.0021,-0.01207464324917673
2020-11-20,1.0,0.9949,0.005126143330987931
2020-11-23,0.996,0.9945,0.0015082956259426794
2020-11-24,0.999,1.01,-0.0108910891089109
2020-11-25,1.011,1.0161,-0.005019191024505543
2020-11-26,1.014,1.0155,-0.001477104874446189
2020-11-27,1.015,1.0255,-0.010238907849829504
2020-11-30,1.016,1.0267,-0.01042173955391057
2020-12-01,1.03,1.0387,-0.008375854433426366
2020-12-02,1.031,1.0395,-0.008177008177008394
2020-12-03,1.035,1.0393,-0.004137400173193417
2020-12-04,1.034,1.0409,-0.006628878854837095
2020-12-07,1.033,1.0461,-0.012522703374438504
2020-12-08,1.039,1.0504,-0.010853008377760931
2020-12-09,1.043,1.027,0.015579357351509282
2020-12-10,1.021,1.0331,-0.011712322137256814
2020-12-11,1.025,1.0287,-0.0035967726256440624
2020-12-14,1.026,1.0361,-0.009748093813338521
2020-12-15,1.034,1.0487,-0.01401735482025357
2020-12-16,1.042,1.0535,-0.010915994304698695
2020-12-17,1.048,1.0591,-0.01048059673307511
2020-12-18,1.052,1.0588,-0.006422364941443104
2020-12-21,1.056,1.0558,0.00018942981625302835
2020-12-22,1.045,1.0582,-0.012474012474012586
2020-12-23,1.051,1.0507,0.0002855239364232265
2020-12-24,1.045,1.0551,-0.009572552364704778
2020-12-25,1.043,1.0534,-0.009872792861211233
2020-12-28,1.051,1.0655,-0.013608634443923018
2020-12-29,1.065,1.0658,-0.0007506098705198916
2020-12-30,1.063,1.0663,-0.0030948138422584037
2020-12-31,1.061,1.0698,-0.008225836604973003
2021-01-04,1.057,1.0437,0.012743125419181656
2021-01-05,1.04,1.0517,-0.011124845488257096
2021-01-06,1.035,1.0358,-0.0007723498744932611
2021-01-07,1.039,1.0622,-0.021841461118433547
2021-01-08,1.063,1.0775,-0.01345707656612527
2021-01-11,1.067,1.0623,0.004424362232890777
2021-01-12,1.06,1.0589,0.0010388138634433997
2021-01-13,1.054,1.0654,-0.010700206495212972
2021-01-14,1.06,1.0598,0.00018871485185889547
2021-01-15,1.053,1.0525,0.00047505938242276
2021-01-18,1.052,1.0551,-0.0029381101317409453
2021-01-19,1.061,1.0715,-0.009799346710219314
2021-01-20,1.069,1.0923,-0.021331136134761564
2021-01-21,1.091,1.1008,-0.008902616279069742
2021-01-22,1.09,1.0994,-0.008550118246316019
2021-01-25,1.106,1.1087,-0.0024352845675114088
2021-01-26,1.1,1.1099,-0.008919722497522264
2021-01-27,1.109,1.0767,0.029999071236184616
2021-01-28,1.069,1.0868,-0.01637835848362168
