日期,纳指ETF,红利低波ETF,中证500ETF,黄金ETF,国债ETF
2021-07-09,0.9802,0.7223,6.2398,3.6800,120.8540
2021-07-16,0.9802,0.7321,6.3732,3.7110,121.0618
2021-07-23,0.9872,0.7306,6.4420,3.6840,121.3408
2021-07-30,0.9820,0.6945,6.2280,3.7200,121.7700
2021-08-06,1.0062,0.6969,6.3866,3.6630,121.9583
2021-08-13,1.0016,0.7336,6.5351,3.5910,121.7759
2021-08-20,0.9932,0.7252,6.3681,3.6590,122.1017
2021-08-27,1.0226,0.7521,6.6081,3.6820,121.7593
2021-09-03,1.0360,0.7888,6.7113,3.6870,122.0646
2021-09-10,1.0292,0.8450,7.0276,3.6600,121.8471
