日期,纳指ETF,红利低波ETF,沪深300ETF,黄金ETF,国债ETF
2013-05-20,0.1993003,0.3145183869016145,2.0916279862404,2.626,97.355602616144
2013-05-27,0.1989005,0.3090060466203982,2.0780252028562,2.626,97.409889406148
2013-06-03,0.197901,0.310266010113256,2.0884273313265,2.626,97.416067479894
2013-06-10,0.1945027,0.2990838341142458,1.9956083388231,2.626,97.413151093118
2013-06-17,0.1951024,0.2877441626786317,1.9355960591872,2.626,97.349962712971
2013-06-24,0.1903048,0.2617574156386948,1.7531587290944,2.626,96.298119215748
2013-07-01,0.1929035,0.266797269610073,1.7899662606043,2.626,97.369405291478
2013-07-08,0.1995002,0.2615999202020883,1.7619605301076,2.626,97.412178964193
2013-07-15,0.2044977,0.2786094273554989,1.8763839432799,2.626,96.616977503261
2013-07-22,0.2028985,0.2649073243707996,1.7915665880613,2.626,96.343809275239
2013-07-29,0.2028985,0.2589224977797926,1.7771636409487,2.626,96.31853392
2013-08-05,0.2060969,0.2686872148493464,1.8619809961673,2.63,96.512959708249
2013-08-12,0.2036981,0.2771919684260636,1.9259940944455,2.659,95.890797196028
2013-08-19,0.1999,0.2798693908483566,1.9019891825912,2.737,95.272523199509
2013-08-26,0.2036981,0.2795543999751488,1.9115911473329,2.772,95.563189748187
2013-09-02,0.2022988,0.278451931918895,1.8955878727634,2.767,95.38917867
2013-09-09,0.2050974,0.3011312747901231,1.9980088300085,2.756,95.097539992947
2013-09-16,0.207896,0.3020762474097466,2.0276148879622,2.631,94.984773037607
2013-09-23,0.2124937,0.298768843241038,2.0180129232204,2.629,95.218083979689
2013-09-30,0.2110944,0.2882166489884435,1.9740039181542,2.649,95.402788475505
2013-10-14,0.2132933,0.2905790805375287,2.0196132506774,2.543,95.273495328434
2013-10-21,0.2226886,0.2880591535518396,2.0236140693198,2.608,95.126703860707
2013-10-28,0.2280859,0.2803418771581684,1.9347958954588,2.626,94.857424148386
2013-11-04,0.2242878,0.2869566854956121,1.9475985151144,2.584,94.978940264055
2013-11-11,0.2254872,0.2787669227921028,1.8907868903925,2.529,93.324376833117
2013-11-18,0.2262868,0.2899490987911129,1.9820055554389,2.527,92.949135067934
2013-11-25,0.2248875,0.2845942539465269,1.9507991700283,2.437,93.75405782
2013-12-02,0.2270864,0.2908940714107628,1.9764044093396,2.45,93.256327808343
2013-12-09,0.2286856,0.2905790805375287,2.0052103035648,2.425,93.526579649589
2013-12-16,0.2240879,0.2803418771581684,1.9363962229157,2.411,93.471168300844
2013-12-23,0.2308845,0.2713646372716394,1.8667819785382,2.366,93.340903024848
2013-12-30,0.2322838,0.2729416396568511,1.8795845981938,2.377,93.375899666161
2014-01-06,0.2312843,0.2657683947162964,1.8291742832997,2.435,92.996769385276
2014-01-13,0.233883,0.260760873175353,1.7915665880613,2.448,93.49936004
2014-01-20,0.235882,0.2598146630258057,1.7699621673924,2.459,93.303962125685
2014-01-27,0.2322838,0.2666644691058492,1.8100402035376,2.476,94.340251560103
2014-02-03,0.2324837,0.2682105743784143,1.7920461301179,2.461,94.296505758462
2014-02-10,0.2342828,0.2763301554012533,1.8558432995151,2.501,94.364554783237
2014-02-17,0.2372813,0.2826817861047423,1.8828344096447,2.596,94.563841212932
2014-02-24,0.23988,0.2760782414917456,1.8059506413968,2.599,94.806873444268
2014-03-03,0.2476761,0.2741115741571032,1.7822311809799,2.651,95.133508763184
2014-03-10,0.243878,0.2632330781080927,1.7110727997292,2.61,94.749517837673
2014-03-17,0.2376811,0.2714496079640926,1.7454251217123,2.722,95.221972495391
2014-03-24,0.2410794,0.2749379157153701,1.7740520566982,2.64,95.129620247483
2014-03-31,0.2350824,0.2727784114555359,1.7511505087095,2.573,94.83992583
2014-04-07,0.2396801,0.2767380176311688,1.7838670058362,2.564,94.609531272423
2014-04-14,0.2266866,0.2872879067338875,1.8509358249461,2.649,95.221000366465
2014-04-21,0.2312843,0.276530330330154,1.7789595312672,2.565,95.931626610893
2014-04-28,0.2308845,0.2687411677475918,1.7429713844278,2.631,95.431952343265
2014-05-05,0.2346826,0.2724617826499518,1.758511721,2.624,96.003564151368
2014-05-12,0.2326836,0.2750149138968629,1.7756878815545,2.593,96.357419080194
2014-05-19,0.2362818,0.269112054188521,1.7266131358644,2.596,96.229098062048
2014-05-26,0.2420789,0.2738421604407305,1.7617833702757,2.594,96.501294161145
2014-06-02,0.2476761,0.2719543173122663,1.7617833702757,2.535,97.044714230413
2014-06-09,0.2510744,0.2702806228029342,1.7446072092841,2.522,97.112763255187
2014-06-16,0.2476761,0.2777020521065571,1.7944998674024,2.555,97.344129939419
