mom_w,vol_w,val_w,top_n,def_alloc,step_low,step_high,max_def,hongli_ratio,annual_return,max_drawdown,sharpe,final_nav,ret_dd
0.3,0.05,0.1,1,0.3,0.15,0.3,0.9,0.2,0.10831402503731691,0.10071946087117858,1.0665575833126726,3.6093289251055283,1.0754031455336308
0.3,0.05,0.1,2,0.3,0.15,0.3,0.9,0.2,0.09166584255391919,0.09826393953779859,1.1832875924447175,2.988058028418197,0.932853323254546
0.3,0.05,0.15,1,0.3,0.15,0.3,0.9,0.2,0.10831402503731691,0.10071946087117858,1.0665575833126726,3.6093289251055283,1.0754031455336308
0.3,0.05,0.15,2,0.3,0.15,0.3,0.9,0.2,0.09166584255391919,0.09826393953779859,1.1832875924447175,2.988058028418197,0.932853323254546
0.3,0.05,0.2,1,0.3,0.15,0.3,0.9,0.2,0.10831402503731691,0.10071946087117858,1.0665575833126726,3.6093289251055283,1.0754031455336308
0.3,0.05,0.2,2,0.3,0.15,0.3,0.9,0.2,0.09166584255391919,0.09826393953779859,1.1832875924447175,2.988058028418197,0.932853323254546
0.3,0.05,0.25,1,0.3,0.15,0.3,0.9,0.2,0.10831402503731691,0.10071946087117858,1.0665575833126726,3.6093289251055283,1.0754031455336308
0.3,0.05,0.25,2,0.3,0.15,0.3,0.9,0.2,0.09166584255391919,0.09826393953779859,1.1832875924447175,2.988058028418197,0.932853323254546
0.3,0.05,0.3,1,0.3,0.15,0.3,0.9,0.2,0.10831402503731691,0.10071946087117858,1.0665575833126726,3.6093289251055283,1.0754031455336308
0.3,0.05,0.3,2,0.3,0.15,0.3,0.9,0.2,0.09166584255391919,0.09826393953779859,1.1832875924447175,2.988058028418197,0.932853323254546
0.3,0.05,0.35,1,0.3,0.15,0.3,0.9,0.2,0.10831402503731691,0.10071946087117858,1.0665575833126726,3.6093289251055283,1.0754031455336308
0.3,0.05,0.35,2,0.3,0.15,0.3,0.9,0.2,0.09166584255391919,0.09826393953779859,1.1832875924447175,2.988058028418197,0.932853323254546
0.3,0.05,0.4,1,0.3,0.15,0.3,0.9,0.2,0.10831402503731691,0.10071946087117858,1.0665575833126726,3.6093289251055283,1.0754031455336308
0.3,0.05,0.4,2,0.3,0.15,0.3,0.9,0.2,0.09166584255391919,0.09826393953779859,1.1832875924447175,2.988058028418197,0.932853323254546
0.3,0.05,0.45,1,0.3,0.15,0.3,0.9,0.2,0.10831402503731691,0.10071946087117858,1.0665575833126726,3.6093289251055283,1.0754031455336308
0.3,0.05,0.45,2,0.3,0.15,0.3,0.9,0.2,0.09166584255391919,0.09826393953779859,1.1832875924447175,2.988058028418197,0.932853323254546
0.3,0.1,0.1,1,0.3,0.15,0.3,0.9,0.2,0.1153281463067195,0.11375460100334996,1.136781513679416,3.9050058355650505,1.0138328057897474
0.3,0.1,0.1,2,0.3,0.15,0.3,0.9,0.2,0.10220319278038925,0.08146345339500806,1.3285553954597233,3.368667019880707,1.2545894940743094
0.3,0.1,0.15,1,0.3,0.15,0.3,0.9,0.2,0.1153281463067195,0.11375460100334996,1.136781513679416,3.9050058355650505,1.0138328057897474
0.3,0.1,0.15,2,0.3,0.15,0.3,0.9,0.2,0.10220319278038925,0.08146345339500806,1.3285553954597233,3.368667019880707,1.2545894940743094
0.3,0.1,0.2,1,0.3,0.15,0.3,0.9,0.2,0.1153281463067195,0.11375460100334996,1.136781513679416,3.9050058355650505,1.0138328057897474
0.3,0.1,0.2,2,0.3,0.15,0.3,0.9,0.2,0.10220319278038925,0.08146345339500806,1.3285553954597233,3.368667019880707,1.2545894940743094
0.3,0.1,0.25,1,0.3,0.15,0.3,0.9,0.2,0.1153281463067195,0.11375460100334996,1.136781513679416,3.9050058355650505,1.0138328057897474
0.3,0.1,0.25,2,0.3,0.15,0.3,0.9,0.2,0.10220319278038925,0.08146345339500806,1.3285553954597233,3.368667019880707,1.2545894940743094
0.3,0.1,0.3,1,0.3,0.15,0.3,0.9,0.2,0.1153281463067195,0.11375460100334996,1.136781513679416,3.9050058355650505,1.0138328057897474
0.3,0.1,0.3,2,0.3,0.15,0.3,0.9,0.2,0.10220319278038925,0.08146345339500806,1.3285553954597233,3.368667019880707,1.2545894940743094
0.3,0.1,0.35,1,0.3,0.15,0.3,0.9,0.2,0.1153281463067195,0.11375460100334996,1.136781513679416,3.9050058355650505,1.0138328057897474
0.3,0.1,0.35,2,0.3,0.15,0.3,0.9,0.2,0.10220319278038925,0.08146345339500806,1.3285553954597233,3.368667019880707,1.2545894940743094
0.3,0.1,0.4,1,0.3,0.15,0.3,0.9,0.2,0.1153281463067195,0.11375460100334996,1.136781513679416,3.9050058355650505,1.0138328057897474
0.3,0.1,0.4,2,0.3,0.15,0.3,0.9,0.2,0.10220319278038925,0.08146345339500806,1.3285553954597233,3.368667019880707,1.2545894940743094
0.3,0.1,0.45,1,0.3,0.15,0.3,0.9,0.2,0.1153281463067195,0.11375460100334996,1.136781513679416,3.9050058355650505,1.0138328057897474
0.3,0.1,0.45,2,0.3,0.15,0.3,0.9,0.2,0.10220319278038925,0.08146345339500806,1.3285553954597233,3.368667019880707,1.2545894940743094
0.3,0.15,0.1,1,0.3,0.15,0.3,0.9,0.2,0.10410931186871286,0.1296637731958895,1.074641972637928,3.4421021375876446,0.8029174942443619
0.3,0.15,0.1,2,0.3,0.15,0.3,0.9,0.2,0.1111090322542656,0.07916905644516599,1.4632694988345643,3.7245905665825765,1.40344014749275
0.3,0.15,0.15,1,0.3,0.15,0.3,0.9,0.2,0.10410931186871286,0.1296637731958895,1.074641972637928,3.4421021375876446,0.8029174942443619
0.3,0.15,0.15,2,0.3,0.15,0.3,0.9,0.2,0.1111090322542656,0.07916905644516599,1.4632694988345643,3.7245905665825765,1.40344014749275
0.3,0.15,0.2,1,0.3,0.15,0.3,0.9,0.2,0.10410931186871286,0.1296637731958895,1.074641972637928,3.4421021375876446,0.8029174942443619
0.3,0.15,0.2,2,0.3,0.15,0.3,0.9,0.2,0.1111090322542656,0.07916905644516599,1.4632694988345643,3.7245905665825765,1.40344014749275
0.3,0.15,0.25,1,0.3,0.15,0.3,0.9,0.2,0.10410931186871286,0.1296637731958895,1.074641972637928,3.4421021375876446,0.8029174942443619
0.3,0.15,0.25,2,0.3,0.15,0.3,0.9,0.2,0.1111090322542656,0.07916905644516599,1.4632694988345643,3.7245905665825765,1.40344014749275
0.3,0.15,0.3,1,0.3,0.15,0.3,0.9,0.2,0.10410931186871286,0.1296637731958895,1.074641972637928,3.4421021375876446,0.8029174942443619
0.3,0.15,0.3,2,0.3,0.15,0.3,0.9,0.2,0.1111090322542656,0.07916905644516599,1.4632694988345643,3.7245905665825765,1.40344014749275
0.3,0.15,0.35,1,0.3,0.15,0.3,0.9,0.2,0.10410931186871286,0.1296637731958895,1.074641972637928,3.4421021375876446,0.8029174942443619
0.3,0.15,0.35,2,0.3,0.15,0.3,0.9,0.2,0.1111090322542656,0.07916905644516599,1.4632694988345643,3.7245905665825765,1.40344014749275
0.3,0.15,0.4,1,0.3,0.15,0.3,0.9,0.2,0.10410931186871286,0.1296637731958895,1.074641972637928,3.4421021375876446,0.8029174942443619
0.3,0.15,0.4,2,0.3,0.15,0.3,0.9,0.2,0.1111090322542656,0.07916905644516599,1.4632694988345643,3.7245905665825765,1.40344014749275
0.3,0.15,0.45,1,0.3,0.15,0.3,0.9,0.2,0.10410931186871286,0.1296637731958895,1.074641972637928,3.4421021375876446,0.8029174942443619
0.3,0.15,0.45,2,0.3,0.15,0.3,0.9,0.2,0.1111090322542656,0.07916905644516599,1.4632694988345643,3.7245905665825765,1.40344014749275
0.3,0.2,0.1,1,0.3,0.15,0.3,0.9,0.2,0.0991038698372726,0.14271371521652448,1.0521627758135164,3.2523329999033166,0.6944242863197327
0.3,0.2,0.1,2,0.3,0.15,0.3,0.9,0.2,0.11094345806801886,0.07916905644516599,1.4808507695705233,3.7176693191431074,1.40134874721995
0.3,0.2,0.15,1,0.3,0.15,0.3,0.9,0.2,0.0991038698372726,0.14271371521652448,1.0521627758135164,3.2523329999033166,0.6944242863197327
0.3,0.2,0.15,2,0.3,0.15,0.3,0.9,0.2,0.11094345806801886,0.07916905644516599,1.4808507695705233,3.7176693191431074,1.40134874721995
0.3,0.2,0.2,1,0.3,0.15,0.3,0.9,0.2,0.0991038698372726,0.14271371521652448,1.0521627758135164,3.2523329999033166,0.6944242863197327
0.3,0.2,0.2,2,0.3,0.15,0.3,0.9,0.2,0.11094345806801886,0.07916905644516599,1.4808507695705233,3.7176693191431074,1.40134874721995
0.3,0.2,0.25,1,0.3,0.15,0.3,0.9,0.2,0.0991038698372726,0.14271371521652448,1.0521627758135164,3.2523329999033166,0.6944242863197327
0.3,0.2,0.25,2,0.3,0.15,0.3,0.9,0.2,0.11094345806801886,0.07916905644516599,1.4808507695705233,3.7176693191431074,1.40134874721995
0.3,0.2,0.3,1,0.3,0.15,0.3,0.9,0.2,0.0991038698372726,0.14271371521652448,1.0521627758135164,3.2523329999033166,0.6944242863197327
0.3,0.2,0.3,2,0.3,0.15,0.3,0.9,0.2,0.11094345806801886,0.07916905644516599,1.4808507695705233,3.7176693191431074,1.40134874721995
0.3,0.2,0.35,1,0.3,0.15,0.3,0.9,0.2,0.0991038698372726,0.14271371521652448,1.0521627758135164,3.2523329999033166,0.6944242863197327
0.3,0.2,0.35,2,0.3,0.15,0.3,0.9,0.2,0.11094345806801886,0.07916905644516599,1.4808507695705233,3.7176693191431074,1.40134874721995
0.3,0.2,0.4,1,0.3,0.15,0.3,0.9,0.2,0.0991038698372726,0.14271371521652448,1.0521627758135164,3.2523329999033166,0.6944242863197327
0.3,0.2,0.4,2,0.3,0.15,0.3,0.9,0.2,0.11094345806801886,0.07916905644516599,1.4808507695705233,3.7176693191431074,1.40134874721995
0.3,0.2,0.45,1,0.3,0.15,0.3,0.9,0.2,0.0991038698372726,0.14271371521652448,1.0521627758135164,3.2523329999033166,0.6944242863197327
0.3,0.2,0.45,2,0.3,0.15,0.3,0.9,0.2,0.11094345806801886,0.07916905644516599,1.4808507695705233,3.7176693191431074,1.40134874721995
0.3,0.25,0.1,1,0.3,0.15,0.3,0.9,0.2,0.11492465839152066,0.0958953843853878,1.1943837253624265,3.8874108374632117,1.1984378510821472
0.3,0.25,0.1,2,0.3,0.15,0.3,0.9,0.2,0.1123100956793961,0.07129108165498273,1.5164002418852298,3.775152749965151,1.5753737083542543
0.3,0.25,0.15,1,0.3,0.15,0.3,0.9,0.2,0.11492465839152066,0.0958953843853878,1.1943837253624265,3.8874108374632117,1.1984378510821472
0.3,0.25,0.15,2,0.3,0.15,0.3,0.9,0.2,0.1123100956793961,0.07129108165498273,1.5164002418852298,3.775152749965151,1.5753737083542543
0.3,0.25,0.2,1,0.3,0.15,0.3,0.9,0.2,0.11492465839152066,0.0958953843853878,1.1943837253624265,3.8874108374632117,1.1984378510821472
0.3,0.25,0.2,2,0.3,0.15,0.3,0.9,0.2,0.1123100956793961,0.07129108165498273,1.5164002418852298,3.775152749965151,1.5753737083542543
0.3,0.25,0.25,1,0.3,0.15,0.3,0.9,0.2,0.11492465839152066,0.0958953843853878,1.1943837253624265,3.8874108374632117,1.1984378510821472
0.3,0.25,0.25,2,0.3,0.15,0.3,0.9,0.2,0.1123100956793961,0.07129108165498273,1.5164002418852298,3.775152749965151,1.5753737083542543
0.3,0.25,0.3,1,0.3,0.15,0.3,0.9,0.2,0.11492465839152066,0.0958953843853878,1.1943837253624265,3.8874108374632117,1.1984378510821472
0.3,0.25,0.3,2,0.3,0.15,0.3,0.9,0.2,0.1123100956793961,0.07129108165498273,1.5164002418852298,3.775152749965151,1.5753737083542543
0.3,0.25,0.35,1,0.3,0.15,0.3,0.9,0.2,0.11492465839152066,0.0958953843853878,1.1943837253624265,3.8874108374632117,1.1984378510821472
0.3,0.25,0.35,2,0.3,0.15,0.3,0.9,0.2,0.1123100956793961,0.07129108165498273,1.5164002418852298,3.775152749965151,1.5753737083542543
0.3,0.25,0.4,1,0.3,0.15,0.3,0.9,0.2,0.11492465839152066,0.0958953843853878,1.1943837253624265,3.8874108374632117,1.1984378510821472
0.3,0.25,0.4,2,0.3,0.15,0.3,0.9,0.2,0.1123100956793961,0.07129108165498273,1.5164002418852298,3.775152749965151,1.5753737083542543
0.3,0.25,0.45,1,0.3,0.15,0.3,0.9,0.2,0.11492465839152066,0.0958953843853878,1.1943837253624265,3.8874108374632117,1.1984378510821472
0.3,0.25,0.45,2,0.3,0.15,0.3,0.9,0.2,0.1123100956793961,0.07129108165498273,1.5164002418852298,3.775152749965151,1.5753737083542543
0.3,0.3,0.1,1,0.3,0.15,0.3,0.9,0.2,0.12263626772311231,0.09589538438538758,1.3205316617760683,4.236646402934033,1.278854748944512
0.3,0.3,0.1,2,0.3,0.15,0.3,0.9,0.2,0.10877812273152299,0.07819986059121993,1.5086669656796472,3.628237491393669,1.3910270671727554
0.3,0.3,0.15,1,0.3,0.15,0.3,0.9,0.2,0.12263626772311231,0.09589538438538758,1.3205316617760683,4.236646402934033,1.278854748944512
0.3,0.3,0.15,2,0.3,0.15,0.3,0.9,0.2,0.10877812273152299,0.07819986059121993,1.5086669656796472,3.628237491393669,1.3910270671727554
0.3,0.3,0.2,1,0.3,0.15,0.3,0.9,0.2,0.12263626772311231,0.09589538438538758,1.3205316617760683,4.236646402934033,1.278854748944512
0.3,0.3,0.2,2,0.3,0.15,0.3,0.9,0.2,0.10877812273152299,0.07819986059121993,1.5086669656796472,3.628237491393669,1.3910270671727554
0.3,0.3,0.25,1,0.3,0.15,0.3,0.9,0.2,0.12263626772311231,0.09589538438538758,1.3205316617760683,4.236646402934033,1.278854748944512
0.3,0.3,0.25,2,0.3,0.15,0.3,0.9,0.2,0.10877812273152299,0.07819986059121993,1.5086669656796472,3.628237491393669,1.3910270671727554
0.3,0.3,0.3,1,0.3,0.15,0.3,0.9,0.2,0.12263626772311231,0.09589538438538758,1.3205316617760683,4.236646402934033,1.278854748944512
0.3,0.3,0.3,2,0.3,0.15,0.3,0.9,0.2,0.10877812273152299,0.07819986059121993,1.5086669656796472,3.628237491393669,1.3910270671727554
0.3,0.3,0.35,1,0.3,0.15,0.3,0.9,0.2,0.12263626772311231,0.09589538438538758,1.3205316617760683,4.236646402934033,1.278854748944512
0.3,0.3,0.35,2,0.3,0.15,0.3,0.9,0.2,0.10877812273152299,0.07819986059121993,1.5086669656796472,3.628237491393669,1.3910270671727554
0.3,0.3,0.4,1,0.3,0.15,0.3,0.9,0.2,0.12263626772311231,0.09589538438538758,1.3205316617760683,4.236646402934033,1.278854748944512
0.3,0.3,0.4,2,0.3,0.15,0.3,0.9,0.2,0.10877812273152299,0.07819986059121993,1.5086669656796472,3.628237491393669,1.3910270671727554
0.3,0.35,0.1,1,0.3,0.15,0.3,0.9,0.2,0.10905463910266189,0.09589538438538768,1.2576342650969612,3.639546774774928,1.1372251104848732
0.3,0.35,0.1,2,0.3,0.15,0.3,0.9,0.2,0.10446770542782802,0.07819986059121993,1.4548534208168833,3.4560729810320496,1.3359065430297885
0.3,0.35,0.15,1,0.3,0.15,0.3,0.9,0.2,0.10905463910266189,0.09589538438538768,1.2576342650969612,3.639546774774928,1.1372251104848732
0.3,0.35,0.15,2,0.3,0.15,0.3,0.9,0.2,0.10446770542782802,0.07819986059121993,1.4548534208168833,3.4560729810320496,1.3359065430297885
0.3,0.35,0.2,1,0.3,0.15,0.3,0.9,0.2,0.10905463910266189,0.09589538438538768,1.2576342650969612,3.639546774774928,1.1372251104848732
0.3,0.35,0.2,2,0.3,0.15,0.3,0.9,0.2,0.10446770542782802,0.07819986059121993,1.4548534208168833,3.4560729810320496,1.3359065430297885
0.3,0.35,0.25,1,0.3,0.15,0.3,0.9,0.2,0.10905463910266189,0.09589538438538768,1.2576342650969612,3.639546774774928,1.1372251104848732
0.3,0.35,0.25,2,0.3,0.15,0.3,0.9,0.2,0.10446770542782802,0.07819986059121993,1.4548534208168833,3.4560729810320496,1.3359065430297885
0.3,0.35,0.3,1,0.3,0.15,0.3,0.9,0.2,0.10905463910266189,0.09589538438538768,1.2576342650969612,3.639546774774928,1.1372251104848732
0.3,0.35,0.3,2,0.3,0.15,0.3,0.9,0.2,0.10446770542782802,0.07819986059121993,1.4548534208168833,3.4560729810320496,1.3359065430297885
