date,portfolio_value,peak_value,weekly_return,in_defensive,weight_纳指ETF,weight_红利低波ETF,weight_沪深300ETF,weight_黄金ETF,weight_国债ETF
2013-08-05,1.0,1.0,0.0,False,0.0,0.15,0.0,0.0,0.15
2013-08-12,1.0037809862900384,1.0037809862900384,0.003780986290038376,False,0.0,0.15,0.0,0.0,0.15
2013-08-19,1.0042645179819645,1.0042645179819645,0.0004817103516904542,False,0.0,0.15,0.0,0.0,0.15
2013-08-26,1.004554560141461,1.004554560141461,0.00028881052183289023,False,0.0,0.15,0.0,0.0,0.15
2013-09-02,1.0036859374850224,1.004554560141461,-0.0008646843993384203,False,0.0,0.15,0.0,0.0,0.15
2013-09-09,1.0154566684074788,1.0154566684074788,0.011727504075578408,False,0.0,0.12065321732723663,0.28152417376355215,0.28152417376355215,0.12065321732723663
2013-09-16,1.0069325931453312,1.0154566684074788,-0.008394326934221376,False,0.3136661320014957,0.13442834228635528,0.0,0.3136661320014957,0.13442834228635528
2013-09-23,1.0124953679806266,1.0154566684074788,0.0055244758915978295,False,0.29222557165145924,0.12523953070776825,0.29222557165145924,0.0,0.12523953070776825
2013-09-30,0.9998585698371717,1.0154566684074788,-0.012480845387627188,False,0.2695902795145085,0.11553869122050363,0.2695902795145085,0.0,0.11553869122050363
2013-10-14,1.0096838252742186,1.0154566684074788,0.009826645221080737,False,0.276050416983193,0.11830732156422558,0.276050416983193,0.0,0.11830732156422558
2013-10-21,1.021288849447345,1.021288849447345,0.011493720987334439,False,0.2442020097305099,0.10465800417021853,0.2442020097305099,0.0,0.10465800417021853
2013-10-28,1.013214379148301,1.021288849447345,-0.0079061573064402,False,0.28990551521588437,0.12424522080680758,0.28990551521588437,0.0,0.12424522080680758
2013-11-04,1.0133678540878026,1.021288849447345,0.00015147331370342967,False,0.2637690455265267,0.11304387665422573,0.0,0.2637690455265267,0.11304387665422573
2013-11-11,1.0038105913380744,1.021288849447345,-0.009431188004607925,False,0.0,0.12960827529903773,0.30241930903108805,0.30241930903108805,0.12960827529903773
2013-11-18,1.0228808537793825,1.0228808537793825,0.01899786932501626,False,0.29275353526775544,0.12546580082903805,0.0,0.29275353526775544,0.12546580082903805
