weekday,freq,annual_return,max_drawdown,win_rate,total_weeks
周一,W-MON,0.13941230111296843,0.09377343022162732,0.5978755690440061,659
周二,W-TUE,0.14671871332281938,0.0884544240681898,0.5954545454545455,660
周三,W-WED,0.13703827982645578,0.10497699913285227,0.6009104704097117,659
周四,W-THU,0.14107698899124488,0.07921936168651068,0.5996955859969558,657
周五,W-FRI,0.14263843717780023,0.09658517841061721,0.6113671274961597,651
