日期,纳指ETF,红利ETF,红利低波ETF,沪深300ETF,黄金ETF,国债ETF
2013-01-01,,,,,,
2013-01-02,,,,,,
2013-01-03,,,,,,
2013-01-04,,1.1410595672283,0.30065878848031136,2.0244142330483,,
2013-01-05,,,,,,
2013-01-06,,,,,,
2013-01-07,,1.151818641199,0.3034937063392083,2.0276148879622,,
2013-01-08,,1.1422550198917,0.3009737793535192,2.0188130869489,,
2013-01-09,,1.1356800302429,0.2992413295508497,2.017212759492,,
2013-01-10,,1.1398641145649,0.3003437976071035,2.0220137418628,,
2013-01-11,,1.1165527876283,0.2942014755794715,1.9916075201807,,
2013-01-12,,,,,,
2013-01-13,,,,,,
2013-01-14,,1.1649686204966,0.3069586059445473,2.0620219282867,,
2013-01-15,,1.16616407316,0.3072735968177551,2.0740243842139,,
2013-01-16,,1.1500254622039,0.3030212200293965,2.0588212733728,,
2013-01-17,,1.1428527462234,0.30113127479012314,2.0460186537171,,
2013-01-18,,1.161979988838,0.3061711287615013,2.0764248753993,,
2013-01-19,,,,,,
2013-01-20,,,,,,
2013-01-21,,1.1733367891404,0.3091635420570022,2.0836263489556,,
2013-01-22,,1.1751299681356,0.3096360283668403,2.0804256940417,,
2013-01-23,,1.1829004104478,0.3116834690427176,2.0844265126841,,
2013-01-24,,1.1805095051209,0.3110534872962756,2.0708237293,,
2013-01-25,,1.1751299681356,0.3096360283668403,2.0612217645582,,
2013-01-26,,,,,,
2013-01-27,,,,,,
2013-01-28,,1.2181662640185,0.3209756998024544,2.1172332255516,,
2013-01-29,,1.2366957803014,0.32585805833722864,2.1332365001212,,
2013-01-30,,1.2426730436184,0.3274330127032678,2.1452389560484,,
2013-01-31,,1.2480525806038,0.3288504716327295,2.1508401021477,,
2013-02-01,,1.286307065833,0.3389301795754859,2.1924486160285,,
2013-02-02,,,,,,
2013-02-03,,,,,,
2013-02-04,,1.2922843291501,0.3405051339415514,2.1964494346709,,
2013-02-05,,1.2910888764867,0.34019014306834355,2.2124527092405,,
2013-02-06,,1.2928820554818,0.34066262937815533,2.2188540190683,,
2013-02-07,,1.2689730022135,0.3343628119139194,2.2084518905981,,
2013-02-08,,1.265984370555,0.33357533473089984,2.2156533641544,,
2013-02-09,,,,,,
2013-02-10,,,,,,
2013-02-11,,,,,,
2013-02-12,,,,,,
2013-02-13,,,,,,
2013-02-14,,,,,,
2013-02-15,,,,,,
2013-02-16,,,,,,
2013-02-17,,,,,,
2013-02-18,,1.2552252965843,0.3307404168720029,2.1828466512868,,
2013-02-19,,1.2372935066331,0.3260155537738325,2.1476394472338,,
2013-02-20,,1.2319139696477,0.3245980948443709,2.1572414119755,,
2013-02-21,,1.1840958631112,0.31199845991592545,2.0804256940417,,
2013-02-22,,1.1685549784868,0.3079035785641708,2.0740243842139,,
2013-02-23,,,,,,
2013-02-24,,,,,,
2013-02-25,,1.1811072314526,0.3112109827328795,2.0772250391278,,
2013-02-26,,1.1679572521551,0.3077460831275669,2.0468188174456,,
2013-02-27,,1.182302684116,0.31152597360608736,2.0660227469291,,
2013-02-28,,1.2217526220087,0.3219206724220779,2.1356369913066,,
2013-03-01,,1.2175685376867,0.3208182043658241,2.1332365001212,,
